,Rice reference genes,Gene orthology projections on various plant species using Compara (30%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Q7Y1H9,OS03G0797000,,"AMTR_s00002p00267940,AMTR_s00002p00268070","g09084,g11483","fgenesh2_kg.5__1860__AT3G54640.1,scaffold_604010.1","AT3G54640,AT4G02610",BVRB_5g120250,BRADI_1g05467v3,"GSBRNA2T00018222001,GSBRNA2T00018448001,GSBRNA2T00108969001,GSBRNA2T00129587001","Bo8g084800,Bo9g005950","Bra007085,Bra036254",CHLRE_12g528700v5,CHC_1120,CCACVL1_14429,"Csa_2G225330,Csa_3G843770",CMV006C,DCAR_002689,"Dr01025,Dr03119",Gasu_40690,"GLYMA_03G158400,GLYMA_19G160800",B456_004G218800,HannXRQ_Chr01g0006881,,,TanjilG_18639,"MANES_01G202100,MANES_05G084000","MTR_7g096080,MTR_7g102980","GSMUA_Achr10G08680_001,GSMUA_Achr8G20600_001,GSMUA_Achr9G10670_001,GSMUA_AchrUn_randomG26530_001",A4A49_63173,OBART03G37380,OB03G44290,,OGLUM03G37120,BGIOSGA009642,KN538875.1_FG027,OMERI03G34540,ONIVA03G38720,OPUNC03G34460,"ORUFI03G38980,ORUFI03G38990",OSTLU_49484,PHAVU_001G156200g,Pp3c4_17740,"POPTR_002G045700v3,POPTR_005G217700v3","PRUPE_3G144200,PRUPE_3G144300,PRUPE_3G144500,PRUPE_8G232700","SELMODRAFT_119759,SELMODRAFT_156443,SELMODRAFT_270960,SELMODRAFT_97357",SETIT_037012mg,Solyc01g098550.3,PGSC0003DMG400028566,,TCM_004218,"Tp57577_TGAC_v2_gene19110,Tp57577_TGAC_v2_gene32810","TraesCS5A02G440700,TraesCS5B02G444300",TRIDC5AG063260,TRIUR3_12134,"LR48_Vigan10g285300,LR48_Vigan50s005900","vigra.VC1973A.gnm6.ann1.Vradi01g00260,vigra.VC1973A.gnm6.ann1.Vradi03g01210",VIT_07s0141g00210,"Zm00001d028678,Zm00001d034452,Zm00001d034460,Zm00001d043077"
 Q7Y1I6,OS03G0797300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SETIT_0389101mg,,,,,,,,,,,,
 Q7Y1I9,OS03G0797400,"AET3Gv20075300,AET5Gv21021300,AET5Gv21022100","AMTR_s00002p00267940,AMTR_s00002p00268070","g09084,g11483","fgenesh2_kg.5__1860__AT3G54640.1,scaffold_604010.1","AT3G54640,AT4G02610",BVRB_5g120250,"BRADI_1g05450v3,BRADI_1g05460v3,BRADI_3g16880v3","GSBRNA2T00018222001,GSBRNA2T00018448001,GSBRNA2T00108969001,GSBRNA2T00129587001","Bo8g084800,Bo9g005950","Bra007085,Bra036254",CHLRE_12g528700v5,CHC_1120,CCACVL1_14429,"Csa_2G225330,Csa_3G843770",,DCAR_002689,"Dr01025,Dr03119",,"GLYMA_03G158400,GLYMA_19G160800",B456_004G218800,HannXRQ_Chr01g0006881,"HORVU3Hr1G003410,HORVU5Hr1G106090,HORVU5Hr1G106190",,TanjilG_18639,"MANES_01G202100,MANES_05G084000","MTR_7g096080,MTR_7g102980","GSMUA_Achr10G08680_001,GSMUA_Achr8G20600_001,GSMUA_Achr9G10670_001,GSMUA_AchrUn_randomG26530_001",A4A49_63173,OBART03G37390,OB03G44310,ORGLA03G0340300,OGLUM03G37140,BGIOSGA009640,KN538875.1_FG029,OMERI03G34560,ONIVA03G38750,OPUNC03G34500,ORUFI03G39010,OSTLU_49484,PHAVU_001G156200g,Pp3c4_17740,"POPTR_002G045700v3,POPTR_005G217700v3","PRUPE_3G144200,PRUPE_3G144300,PRUPE_3G144500,PRUPE_8G232700","SELMODRAFT_119759,SELMODRAFT_156443,SELMODRAFT_270960,SELMODRAFT_97357",,Solyc01g098550.3,PGSC0003DMG400028566,,TCM_004218,"Tp57577_TGAC_v2_gene19110,Tp57577_TGAC_v2_gene32810","TraesCS3A02G041800,TraesCS3B02G041900,TraesCS3D02G038500,TraesCS5A02G440800,TraesCS5A02G440900,TraesCS5A02G441100,TraesCS5A02G441300,TraesCS5B02G444500,TraesCS5B02G444600,TraesCS5B02G445100,TraesCS5B02G445200,TraesCS5D02G447800,TraesCS5D02G447900,TraesCS5D02G448200,TraesCS5D02G448400,TraesCS5D02G448500","TRIDC3AG004660,TRIDC3BG005740,TRIDC5AG063270,TRIDC5AG063320,TRIDC5AG063330,TRIDC5BG067890,TRIDC5BG067900,TRIDC5BG067910","TRIUR3_11733,TRIUR3_11735,TRIUR3_19568,TRIUR3_28685,TRIUR3_34293","LR48_Vigan10g285300,LR48_Vigan50s005900","vigra.VC1973A.gnm6.ann1.Vradi01g00260,vigra.VC1973A.gnm6.ann1.Vradi03g01210",VIT_07s0141g00210,
 Q7Y1J1,OS03G0797500,"AET3Gv20075300,AET5Gv21021300,AET5Gv21022100","AMTR_s00002p00267940,AMTR_s00002p00268070","g09084,g11483","fgenesh2_kg.5__1860__AT3G54640.1,scaffold_604010.1","AT3G54640,AT4G02610",BVRB_5g120250,"BRADI_1g05450v3,BRADI_1g05460v3,BRADI_3g16880v3","GSBRNA2T00018222001,GSBRNA2T00018448001,GSBRNA2T00108969001,GSBRNA2T00129587001","Bo8g084800,Bo9g005950","Bra007085,Bra036254",CHLRE_12g528700v5,CHC_1120,CCACVL1_14429,"Csa_2G225330,Csa_3G843770",,DCAR_002689,"Dr01025,Dr03119",,"GLYMA_03G158400,GLYMA_19G160800",B456_004G218800,HannXRQ_Chr01g0006881,"HORVU3Hr1G003410,HORVU5Hr1G106090,HORVU5Hr1G106190",,TanjilG_18639,"MANES_01G202100,MANES_05G084000","MTR_7g096080,MTR_7g102980","GSMUA_Achr10G08680_001,GSMUA_Achr8G20600_001,GSMUA_Achr9G10670_001,GSMUA_AchrUn_randomG26530_001",A4A49_63173,,OB03G44310,,,BGIOSGA009639,,,,,,OSTLU_49484,PHAVU_001G156200g,Pp3c4_17740,"POPTR_002G045700v3,POPTR_005G217700v3","PRUPE_3G144200,PRUPE_3G144300,PRUPE_3G144500,PRUPE_8G232700","SELMODRAFT_119759,SELMODRAFT_156443,SELMODRAFT_270960,SELMODRAFT_97357",,Solyc01g098550.3,PGSC0003DMG400028566,,TCM_004218,"Tp57577_TGAC_v2_gene19110,Tp57577_TGAC_v2_gene32810","TraesCS3A02G041800,TraesCS3B02G041900,TraesCS3D02G038500,TraesCS5A02G440800,TraesCS5A02G440900,TraesCS5A02G441100,TraesCS5A02G441300,TraesCS5B02G444500,TraesCS5B02G444600,TraesCS5B02G445100,TraesCS5B02G445200,TraesCS5D02G447800,TraesCS5D02G447900,TraesCS5D02G448200,TraesCS5D02G448400,TraesCS5D02G448500","TRIDC3AG004660,TRIDC3BG005740,TRIDC5AG063270,TRIDC5AG063320,TRIDC5AG063330,TRIDC5BG067890,TRIDC5BG067910","TRIUR3_11733,TRIUR3_11735,TRIUR3_19568,TRIUR3_28685,TRIUR3_34293","LR48_Vigan10g285300,LR48_Vigan50s005900","vigra.VC1973A.gnm6.ann1.Vradi01g00260,vigra.VC1973A.gnm6.ann1.Vradi03g01210",VIT_07s0141g00210,
 Q10BX9,OS03G0801700,AET5Gv20477200,AMTR_s00002p00254160,"g23803,g27741,g30318","fgenesh2_kg.6__2328__AT5G23330.1,fgenesh2_kg.6__801__AT5G08340.1","AT5G08340,AT5G23330",BVRB_9g202650,BRADI_1g05116v3,"GSBRNA2T00129694001,GSBRNA2T00134542001",Bo3g004870,Bra005986,,,CCACVL1_14638,Csa_5G577970,,,,,GLYMA_10G286400,B456_012G135400,HannXRQ_Chr03g0076951,HORVU5Hr1G057950,LPERR03G31890,TanjilG_24692,MANES_04G162800,MTR_1g114560,GSMUA_Achr10G08850_001,A4A49_24707,OBART03G37730,OB03G44570,ORGLA03G0343600,OGLUM03G37480,BGIOSGA009626,KN539179.1_FG013,OMERI03G34900,ONIVA03G39130,OPUNC03G34780,ORUFI03G39350,,PHAVU_007G014500g,"Pp3c14_5150,Pp3c5_28930",POPTR_007G075500v3,PRUPE_1G349200,,SETIT_035668mg,Solyc04g008990.3,PGSC0003DMG400011512,SORBI_3001G052600,TCM_007680,Tp57577_TGAC_v2_gene4059,"TraesCS5A02G190600,TraesCS5B02G192600,TraesCS5D02G200300","TRIDC5AG031420,TRIDC5BG033150",TRIUR3_12859,LR48_Vigan02g263500,vigra.VC1973A.gnm6.ann1.Vradi08g22310,VIT_10s0071g00290,Zm00001d034493
 Q10BT5,OS03G0805300,AET5Gv21054500,,,,,,BRADI_1g04850v3,GSBRNA2T00098936001,,,,CHC_T00009030001,CCACVL1_12674,Csa_4G280520,,,Dr14148,Gasu_32010,"GLYMA_05G155300,GLYMA_08G113200","B456_004G017300,B456_009G000500",,HORVU5Hr1G109430,LPERR03G32150,"TanjilG_14824,TanjilG_23174,TanjilG_31355",,MTR_8g085610,,,OBART03G38020,OB03G44910,ORGLA03G0346800,OGLUM03G37780,BGIOSGA013766,KN539392.1_FG009,OMERI03G35180,ONIVA03G39430,OPUNC03G35080,ORUFI03G39630,,PHAVU_002G235400g,"Pp3c16_19120,Pp3c25_7000,Pp3c25_7010","POPTR_001G007800v3,POPTR_003G217900v3",,"SELMODRAFT_228841,SELMODRAFT_270568",SETIT_036764mg,Solyc01g073650.3,PGSC0003DMG400031130,SORBI_3001G049400,,Tp57577_TGAC_v2_gene11881,"TraesCS5A02G455000,TraesCS5B02G464000,TraesCS5D02G465400","TRIDC5AG065260,TRIDC5BG070200",TRIUR3_19272,LR48_Vigan03g291300,vigra.VC1973A.gnm6.ann1.Vradi07g16830,,"Zm00001d013047,Zm00001d034517"
 Q84M43,OS03G0808100,AET5Gv21064600,AMTR_s00103p00124340,g26050,fgenesh2_kg.6__440__AT5G05170.1,AT5G05170,"BVRB_006490,BVRB_2g029350",BRADI_1g04597v3,"GSBRNA2T00000359001,GSBRNA2T00004966001,GSBRNA2T00045786001,GSBRNA2T00078672001,GSBRNA2T00119665001,GSBRNA2T00134366001","Bo2g006860,Bo3g003250,Bo5g137100","Bra005845,Bra028768,Bra029874",,,"CCACVL1_18312,CCACVL1_19287","Csa_4G166980,Csa_7G428160",,"DCAR_022397,DCAR_029673","Dr03507,Dr11109",,"GLYMA_09G103000,GLYMA_12G237000,GLYMA_13G202500,GLYMA_15G275000","B456_003G092600,B456_004G065900,B456_004G172400","HannXRQ_Chr04g0119891,HannXRQ_Chr16g0524501",HORVU5Hr1G110000,LPERR03G32410,"TanjilG_02322,TanjilG_08139,TanjilG_29372","MANES_09G023700,MANES_10G142600","MTR_3g030040,MTR_7g106680,MTR_8g037260",,A4A49_36598,OBART03G38230,OB03G45190,ORGLA03G0349200,OGLUM03G38000,BGIOSGA009600,KN539988.1_FG002,OMERI06G11200,ONIVA03G39840,OPUNC03G35340,ORUFI03G39840,,"PHAVU_005G022100g,PHAVU_011G211500g","Pp3c1_22600,Pp3c2_13330,Pp3c3_34520,Pp3c8_7420","POPTR_001G266400v3,POPTR_006G052600v3,POPTR_009G060800v3,POPTR_016G054900v3","PRUPE_2G011200,PRUPE_2G014300","SELMODRAFT_156278,SELMODRAFT_163575",SETIT_034016mg,Solyc01g087210.3,PGSC0003DMG400006799,SORBI_3001G045700,"TCM_005879,TCM_024713","Tp57577_TGAC_v2_gene12173,Tp57577_TGAC_v2_gene1876","TraesCS5A02G459400,TraesCS5B02G469200,TraesCS5D02G470400","TRIDC5AG065980,TRIDC5BG070850",TRIUR3_14796,"LR48_Vigan05g007200,LR48_Vigan08g011600","vigra.VC1973A.gnm6.ann1.Vradi02g14440,vigra.VC1973A.gnm6.ann1.Vradi05g16970","VIT_08s0007g08380,VIT_13s0064g00890",Zm00001d034553
 Q75HE5,OS03G0815100,,,"g04524,g06676,g15089","fgenesh2_kg.1__4367__AT1G52890.1,fgenesh2_kg.3__1697__AT3G15500.1,fgenesh2_kg.7__1491__AT4G27410.3","AT1G52890,AT3G15500,AT4G27410",,,"GSBRNA2T00042260001,GSBRNA2T00044271001,GSBRNA2T00104909001,GSBRNA2T00106217001,GSBRNA2T00137565001,GSBRNA2T00149455001,GSBRNA2T00154660001","Bo1g048300,Bo5g127040,Bo6g030940,Bo7g111390","Bra019052,Bra026353,Bra027238",,,,,,DCAR_017156,,,,"B456_002G073700,B456_009G433200","HannXRQ_Chr11g0327541,HannXRQ_Chr13g0407401","HORVU2Hr1G004130,HORVU4Hr1G089660",LPERR03G32860,TanjilG_23023,,,,A4A49_05140,OBART03G38670,OB03G45600,ORGLA03G0354300,OGLUM03G38490,BGIOSGA013814,KN539025.1_FG005,OMERI03G35600,ONIVA03G40320,OPUNC03G35740,ORUFI03G40310,,,,"POPTR_001G404100v3,POPTR_011G123300v3",PRUPE_4G186800,,,Solyc12g013620.2,"PGSC0003DMG400015342,PGSC0003DMG400019294",,,Tp57577_TGAC_v2_gene38958,,,,,,,
 Q0DMB5,OS03G0818800,AET5Gv21097800,AMTR_s00058p00216470,g07069,fgenesh2_kg.4__825__AT2G28550.1,AT2G28550,,BRADI_1g03880v3,"GSBRNA2T00090011001,GSBRNA2T00101683001,GSBRNA2T00118765001,GSBRNA2T00138851001","Bo3g040110,Bo4g070350","Bra000487,Bra011939",,,CCACVL1_20452,"Csa_3G736760,Csa_6G296960",,"DCAR_006477,DCAR_018848","Dr12803,Dr16003",,,"B456_002G251500,B456_009G104200,B456_011G241700",,HORVU5Hr1G112440,LPERR03G33090,TanjilG_28300,,,"GSMUA_Achr10G03230_001,GSMUA_Achr11G23870_001,GSMUA_Achr5G07270_001,GSMUA_Achr5G29290_001,GSMUA_Achr6G33140_001,GSMUA_Achr6G34420_001,GSMUA_Achr8G21030_001,GSMUA_Achr9G03060_001,GSMUA_Achr9G04270_001",,OBART03G38950,OB03G45870,ORGLA03G0357200,OGLUM03G38790,BGIOSGA013826,KN538803.1_FG030,OMERI03G35820,ONIVA03G40610,OPUNC03G36030,ORUFI03G40640,,PHAVU_001G174400g,,"POPTR_006G132400v3,POPTR_008G045300v3,POPTR_010G216200v3",PRUPE_6G242400,,SETIT_036068mg,,,SORBI_3001G036800,"TCM_022077,TCM_042000,TCM_043051",Tp57577_TGAC_v2_gene2969,"TraesCS5A02G473800,TraesCS5B02G486900,TraesCS5D02G486600","TRIDC5AG067730,TRIDC5BG073000",TRIUR3_24919,"LR48_Vigan03g234800,LR48_Vigan05g183700","vigra.VC1973A.gnm6.ann1.Vradi02g05460,vigra.VC1973A.gnm6.ann1.Vradi03g03260,vigra.VC1973A.gnm6.ann1.Vradi04g02560",VIT_06s0004g03590,Zm00001d034629
 Q84T92,OS03G0819600,AET5Gv21103100,"AMTR_s00034p00169430,AMTR_s00034p00169920,AMTR_s00034p00233920",,,,,BRADI_1g03840v3,,,,,,,,,,,,,,,HORVU5Hr1G112670,LPERR03G33170,,,,GSMUA_Achr4G16830_001,,OBART03G38990,OB03G45960,,OGLUM03G38850,BGIOSGA009556,AMDW01038330.1_FG001,OMERI03G35850,ONIVA03G40660,OPUNC03G36100,ORUFI03G40690,,,,,,,"SETIT_024113mg,SETIT_036958mg",,,SORBI_3001G035600,,,"TraesCS5A02G475600,TraesCS5B02G488900,TraesCS5D02G489000","TRIDC5AG067950,TRIDC5BG073260",,,,,"Zm00001d012972,Zm00001d034635"
 Q10BD9,OS03G0821900,"AET5Gv20572700,AET5Gv21111100",AMTR_s00012p00221000,,,,,BRADI_1g03650v3,,,,,,,,,,,,,,,"HORVU5Hr1G068820,HORVU5Hr1G068870,HORVU5Hr1G068900,HORVU5Hr1G113300",LPERR03G33330,,,,GSMUA_Achr8G34290_001,,OBART03G39150,OB03G46160,ORGLA03G0359600,OGLUM03G39040,BGIOSGA013840,KN541613.1_FG004,OMERI03G35980,ONIVA03G40860,OPUNC03G36260,ORUFI03G40890,,,,,,,SETIT_035876mg,,,SORBI_3001G033400,,,"TraesCS5A02G241300,TraesCS5A02G480600,TraesCS5B02G239500,TraesCS5B02G239600,TraesCS5B02G493500,TraesCS5D02G247800,TraesCS5D02G493800","TRIDC5AG038100,TRIDC5AG068560,TRIDC5BG073940","TRIUR3_07272,TRIUR3_15951",,,,"Zm00001d012958,Zm00001d034662"
 Q10BB9,OS03G0823900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OGLUM03G39170,,,,ONIVA03G41140,,ORUFI03G41050,,,,,,,,,,,,,,,,,,,
 Q10BA5,OS03G0825700,AET5Gv21121900,AMTR_s00029p00208280,g11684,scaffold_301027.1,AT3G09090,BVRB_5g112630,BRADI_1g03380v3,"GSBRNA2T00008531001,GSBRNA2T00018590001,GSBRNA2T00064346001,GSBRNA2T00064355001,GSBRNA2T00080657001",Bo1g144710,"Bra029746,Bra034054",CHLRE_04g214097v5,,CCACVL1_10384,Csa_4G307940,,DCAR_024038,Dr19434,,"GLYMA_01G111300,GLYMA_03G076900","B456_006G180300,B456_012G111700",HannXRQ_Chr16g0507821,HORVU5Hr1G114910,LPERR03G33590,TanjilG_08257,MANES_09G101900,MTR_4g014960,GSMUA_Achr10G13810_001,"A4A49_38201,A4A49_38664",OBART03G39420,OB03G46470,ORGLA03G0362500,OGLUM03G39290,BGIOSGA013852,KN539435.1_FG001,OMERI03G36230,ONIVA03G41250,OPUNC03G36550,ORUFI03G41180,,PHAVU_010G008300g,Pp3c20_710,"POPTR_006G096100v3,POPTR_016G110800v3",PRUPE_6G270500,"SELMODRAFT_50714,SELMODRAFT_50757",SETIT_034308mg,"Solyc09g013130.3,Solyc10g085060.2","PGSC0003DMG400011017,PGSC0003DMG400020350",SORBI_3001G030000,TCM_021766,"Tp57577_TGAC_v2_gene5272,Tp57577_TGAC_v2_gene6686","TraesCS5A02G487400,TraesCS5B02G501200,TraesCS5D02G501700","TRIDC5AG069420,TRIDC5BG075000",,LR48_Vigan661s000600,vigra.VC1973A.gnm6.ann1.Vradi0133s00280,VIT_08s0007g01790,Zm00001d034701
 Q94GF1,OS03G0826500,AET5Gv21126000,AMTR_s00029p00234880,"g06927,g14490,g25995","fgenesh1_pg.C_scaffold_5002065,fgenesh2_kg.4__945__AT2G29690.1,fgenesh2_kg.6__508__AT5G05730.1","AT2G29690,AT3G55870,AT5G05730","BVRB_7g172410,BVRB_7g172430",BRADI_1g03260v3,"GSBRNA2T00049379001,GSBRNA2T00101652001,GSBRNA2T00106963001,GSBRNA2T00134394001,GSBRNA2T00136244001,GSBRNA2T00138869001","Bo3g003470,Bo3g039910,Bo9g176940","Bra000473,Bra005864,Bra009130",CHLRE_06g306601v5,CHC_T00008898001,"CCACVL1_08218,CCACVL1_10902","Csa_4G563190,Csa_6G011620",CMN228C,"DCAR_011801,DCAR_018955,DCAR_018957",Dr18140,Gasu_16620,"GLYMA_10G286100,GLYMA_18G028800,GLYMA_18G028900,GLYMA_20G103200","B456_001G115500,B456_009G322200","HannXRQ_Chr08g0222151,HannXRQ_Chr08g0229521,HannXRQ_Chr12g0370561",HORVU5Hr1G115160,LPERR03G33650,"TanjilG_21358,TanjilG_30480","MANES_01G162800,MANES_07G127900","MTR_1g114520,MTR_3g070290,MTR_3g076770,MTR_3g467000",GSMUA_Achr9G07690_001,"A4A49_01687,A4A49_25932",OBART03G39490,OB03G46550,ORGLA03G0363200,OGLUM03G39360,BGIOSGA009526,KN538833.1_FG020,OMERI03G36300,ONIVA03G41330,OPUNC03G36620,ORUFI03G41260,OSTLU_87709,"PHAVU_001G241600g,PHAVU_001G241700g,PHAVU_007G014800g","Pp3c5_26400,Pp3c5_26980,Pp3c6_3370","POPTR_009G044300v3,POPTR_010G190600v3","PRUPE_2G248100,PRUPE_6G059400","SELMODRAFT_122876,SELMODRAFT_414586",SETIT_034864mg,"Solyc06g005980.3,Solyc06g006100.3","PGSC0003DMG400004153,PGSC0003DMG400019952",SORBI_3001G029300,"TCM_041646,TCM_042564","Tp57577_TGAC_v2_gene2560,Tp57577_TGAC_v2_gene4020","TraesCS5B02G502700,TraesCS5D02G503800","TRIDC5AG069620,TRIDC5BG075730",TRIUR3_21068,"LR48_Vigan02g263200,LR48_Vigan03g295500,LR48_Vigan03g295600",vigra.VC1973A.gnm6.ann1.Vradi08g22280,"VIT_06s0004g06320,VIT_13s0067g00400","Zm00001d012925,Zm00001d034713"
 Q10B63,OS03G0829000,"AET4Gv20163600,AET5Gv21132000",AMTR_s00183p00050040,g20210,"fgenesh2_kg.3__1838__AT3G16700.1,fgenesh2_kg.7__2724__AT4G15940.1","AT3G16700,AT4G15940","BVRB_3g067140,BVRB_7g177710","BRADI_1g03130v3,BRADI_1g14790v3","GSBRNA2T00022769001,GSBRNA2T00028706001,GSBRNA2T00028707001,GSBRNA2T00040134001,GSBRNA2T00057553001","Bo1g123320,Bo8g042180","Bra021191,Bra038057,Bra038058",,CHC_T00010274001,,Csa_3G164480,CMJ301C,DCAR_023296,Dr16610,"Gasu_27240,Gasu_60660","GLYMA_07G245900,GLYMA_17G028100",B456_002G028600,HannXRQ_Chr06g0173801,"HORVU4Hr1G013370,HORVU5Hr1G115710",LPERR03G33800,TanjilG_29111,MANES_03G198200,MTR_4g120230,GSMUA_Achr3G24110_001,A4A49_31437,OBART03G39630,OB03G46700,ORGLA03G0364700,OGLUM03G39520,BGIOSGA013857,,OMERI03G36440,ONIVA03G41490,OPUNC03G36770,ORUFI03G41420,,PHAVU_003G106800g,Pp3c9_26130,POPTR_010G011000v3,PRUPE_1G125100,"SELMODRAFT_108260,SELMODRAFT_439713",SETIT_037363mg,Solyc01g066480.3,,"SORBI_3001G025400,SORBI_3001G132000",TCM_021244,Tp57577_TGAC_v2_gene3211,"TraesCS4A02G236400,TraesCS4A02G366200,TraesCS4B02G078600,TraesCS4D02G077400,TraesCS5B02G507100,TraesCS5D02G506900","TRIDC4AG037280,TRIDC4AG054620,TRIDC4BG012200",TRIUR3_20506,,vigra.VC1973A.gnm6.ann1.Vradi07g25080,VIT_05s0077g02040,"Zm00001d033555,Zm00001d034739,Zm00001d034957"
 Q10AZ7,OS03G0835800,AET5Gv21149700,AMTR_s00040p00191090,g03539,fgenesh1_pm.C_scaffold_4001402,AT2G36360,BVRB_4g095040,BRADI_1g02610v3,"GSBRNA2T00068310001,GSBRNA2T00117072001,GSBRNA2T00117075001,GSBRNA2T00117080001,GSBRNA2T00141141001","Bo4g034690,Bo4g034760","Bra005272,Bra005274,Bra005279,Bra040845",,,CCACVL1_07799,Csa_5G615270,,DCAR_028402,Dr13081,,GLYMA_20G187700,B456_008G098400,HannXRQ_Chr05g0146831,HORVU5Hr1G117920,,TanjilG_01658,MANES_07G089800,MTR_1g492850,GSMUA_Achr8G07640_001,,OBART03G40050,OB03G47200,ORGLA03G0369100,OGLUM03G39930,BGIOSGA013889,KN540141.1_FG003,OMERI03G36900,ONIVA03G41940,OPUNC03G37270,ORUFI03G41860,,PHAVU_007G104300g,"Pp3c12_16110,Pp3c12_16113",POPTR_008G024700v3,PRUPE_2G084800,"SELMODRAFT_416466,SELMODRAFT_432007",SETIT_034800mg,Solyc11g007320.2,PGSC0003DMG400019479,SORBI_3001G023000,TCM_043822,Tp57577_TGAC_v2_gene2503,"TraesCS4A02G356300,TraesCS5B02G515900,TraesCS5D02G516000","TRIDC4AG053260,TRIDC5BG076990",,LR48_Vigan02g180600,vigra.VC1973A.gnm6.ann1.Vradi08g16290,VIT_13s0074g00620,Zm00001d034759
 Q851L5,OS03G0836800,AET5Gv21151100,,g02476,fgenesh2_kg.3__234__AT3G02875.1,AT3G02875,,"BRADI_1g02530v3,BRADI_1g09877v3","GSBRNA2T00003627001,GSBRNA2T00041355001",Bo5g151390,Bra040608,,,,,,DCAR_020729,,,,,,HORVU5Hr1G118040,LPERR03G34270,,,,,,,OB03G47290,ORGLA03G0370000,OGLUM03G40020,BGIOSGA013895,AMDW01027516.1_FG001,OMERI03G36990,,OPUNC03G37350,ORUFI03G41940,,,,,PRUPE_7G099700,,,,PGSC0003DMG400004221,SORBI_3001G021900,,,"TraesCS4A02G355400,TraesCS5B02G517000,TraesCS5B02G517200","TRIDC4AG053140,TRIDC5BG077140,TRIDC5BG077160",,,,,
 Q851L6,OS03G0836900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Q6AVR2,OS03G0840800,,,,,,,,,,,,,,,,,,,,,,,LPERR03G34500,,,,,,OBART03G40410,OB03G47540,ORGLA03G0372300,OGLUM03G40260,BGIOSGA009476,KN539049.1_FG005,,ONIVA03G42310,,ORUFI03G42170,,,,,,,,,,,,Tp57577_TGAC_v2_gene31938,,,,,,,
 Q75LC7,OS03G0844500,AET5Gv21178500,,"g04719,g19545","fgenesh2_kg.1__1458__AT1G13460.2,scaffold_500486.1","AT1G13460,AT3G26020","BVRB_6g151630,BVRB_6g151640",BRADI_1g01930v3,"GSBRNA2T00044565001,GSBRNA2T00078017001,GSBRNA2T00105486001,GSBRNA2T00139234001","Bo5g017520,Bo7g082350","Bra019720,Bra025178,Bra036352",CHLRE_13g567800v5,,"CCACVL1_17220,CCACVL1_24189,CCACVL1_24190","Csa_2G350360,Csa_6G008600",CMF150C,"DCAR_021757,DCAR_026486",,,"GLYMA_05G073300,GLYMA_11G246900,GLYMA_18G010400,GLYMA_19G077700,GLYMA_19G082900","B456_001G268200,B456_005G172800,B456_006G038500,B456_007G074200,B456_012G174400","HannXRQ_Chr07g0199151,HannXRQ_Chr08g0207331,HannXRQ_Chr12g0372141,HannXRQ_Chr14g0451001,HannXRQ_Chr15g0475181,HannXRQ_Chr17g0549501",HORVU5Hr1G120550,,"TanjilG_01581,TanjilG_05205,TanjilG_09102,TanjilG_15354,TanjilG_16510,TanjilG_32992","MANES_12G016700,MANES_12G016800,MANES_13G014200,MANES_17G107400","MTR_3g086010,MTR_6g022720","GSMUA_Achr8G32030_001,GSMUA_AchrUn_randomG01660_001","A4A49_12672,A4A49_20040,A4A49_27532",,OB03G47760,ORGLA03G0375000,,BGIOSGA013925,KN539881.1_FG001,,,,,OSTLU_35344,"PHAVU_001G258400g,PHAVU_004G057400g","Pp3c1_30380,Pp3c14_21060,Pp3c16_17970,Pp3c17_15560,Pp3c17_15690,Pp3c2_11020,Pp3c25_4390","POPTR_008G179900v3,POPTR_008G180000v3,POPTR_010G054300v3,POPTR_010G054400v3,POPTR_017G070100v3","PRUPE_1G234200,PRUPE_1G234400,PRUPE_3G299400","SELMODRAFT_167051,SELMODRAFT_171686,SELMODRAFT_232803,SELMODRAFT_267276,SELMODRAFT_63731,SELMODRAFT_99313",SETIT_035198mg,"Solyc02g067980.3,Solyc05g014340.3","PGSC0003DMG400006970,PGSC0003DMG400017455,PGSC0003DMG400020228",SORBI_3001G015800,"TCM_010741,TCM_010743,TCM_017073,TCM_025099","Tp57577_TGAC_v2_gene33371,Tp57577_TGAC_v2_gene36527","TraesCS4A02G341600,TraesCS5B02G533000,TraesCS5D02G531300","TRIDC4AG051480,TRIDC5BG079140",TRIUR3_02855,"LR48_Vigan03g312700,LR48_Vigan10g210900",vigra.VC1973A.gnm6.ann1.Vradi07g07460,"VIT_01s0010g02350,VIT_14s0171g00530",Zm00001d034817
